UserID,FullName,Age,Email,RegistrationDate,LastLoginDate,PurchaseTotal
101,John Doe,30,johndoe@example.com,1/10/2021,3/1/2023,150
111,Alice Johnson,,alicejohnson@example.com,7/15/2022,,
112,Bob Marley,27,bobmarley@example.com,5/20/2021,2/28/2023,
113,Cathy Smith,null,cathysmith@example.com,10/12/2019,2/27/2023,210.5
,Null User,25,,12/1/2020,2/25/2023,100
114,Derek Nowak,29,dereknowak@example.com,3/17/2020,2/24/2023,180.75
115,Eva Green,null,evagreen@example.com,8/22/2018,2/23/2023,
116,Frank Poe,34,frankpoe@example.com,11/13/2019,2/22/2023,190.4
101,John Doe,30,johndoe@example.com,1/10/2023,3/1/2023,200
117,George Kay,28,georgekay@example.com,6/7/2021,2/21/2023,170
118,Hanna Lux,32,hannalux@example.com,2/18/2019,2/20/2023,220.15
119,Ian Volt,26,ianvolt@example.com,7/23/2020,2/19/2023,130
120,Julia Nex,24,julianex@example.com,1/12/2022,2/18/2023,145.6
121,Kevin Yolt,abc,kevinyolt@example.com,3/14/2021,2/17/2023,
122,Lana Molt,31,lanamolt@example.com,9/9/2020,2/16/2023,155.3
123,Mike Dolt,33,mikedolt@example.com,5/5/2018,2/15/2023,205
124,Nina Colt,27,ninacolt@example.com,7/29/2019,2/14/2023,160.75
125,Oscar Holt,29,oscarholt@example.com,11/11/2022,2/13/2023,175.45
126,Patty Jolt,31,pattyjolt@example.com,12/13/2018,2/12/2023,185.9
127,Quincy Molt,34,quincymolt@example.com,4/17/2020,2/11/2023,195.25
128,Rita Bolt,36,ritabolt@example.com,8/21/2021,2/10/2023,210.5
112,Bob Marley,27,bobmarley@example.com,5/20/2021,2/28/2023,
129,Steve Jolt,38,stevejolt@example.com,1/1/2019,2/9/2023,225.75
130,Invalid Date,29,invaliddatetest@example.com,2022-02-30,2/8/2023,180
131,Special Characters Name,34,special$$name@example.com,4/17/2021,2/7/2023,200.5
132,Old Format,30,oldformat@example.com,7/5/2019,2/6/2023,150.5
133,Future Date,25,futuredate@example.com,1/1/2024,1/2/2025,160
134,Negative Age,-1,negativeage@example.com,8/15/2021,2/4/2023,130
135,Very Old Date,90,veryolddate@example.com,1/1/1920,2/3/2023,100
136,Extra Large Total,27,extralargetotal@example.com,10/10/2020,2/2/2023,1000000
137,Incorrect Email,28,notanemail,11/11/2021,2/1/2023,190
138,Duplicate ID,27,duplicateid@example.com,3/15/2019,1/31/2023,200
101,John Doe,30,johndoe@example.com,1/10/2024,3/1/2023,250
